nm9430037&Thomas Chong&
nm9430038&Sarita Choudhury&
nm9430039&Navin Chowdhury&
nm9430040&Linda Cristian&
nm9430041&Suzanne Christian&
nm9430042&Kay Christopher&
nm9430043&William Christopher&
nm9430044&Sarah Churchill&
nm9430045&Augusta Ciolli&
nm9430046&Audrey Claire&
nm9430047&Jimmy Clanton&
nm9430048&Gordon Clapp&
nm9430049&Eric Clapton&
nm9430050&D. Greydon Clark&
nm9430051&Ken Clark&
nm9430052&Caitlin Clarke&
nm9430053&Sharon D. Clarke&
nm9430054&Warren Clarke&
nm9430055&David Clendinning&
nm9430056&David Clennon&
nm9430057&Corinne Clery&
nm9430058&Jimmy Cliff&
nm9430059&Al Cliver&
nm9430060&George Clooney&
nm9430061&Raymond Cloutier&
nm9430062&Jennifer Cluff&
nm9430063&June Clyde&
nm9430064&George Coe&
nm9430065&Tristam Coffin&
nm9430066&Mindy Cohen&
nm9430067&Nicholas Colasanto&
nm9430068&Mabel Colcord&
nm9430069&Rosalie Cole&
nm9430070&Robert Coleby&
nm9430071&Dabney Coleman&
nm9430072&David Colin~jr.&
nm9430073&Kenneth Colley&
nm9430074&Dan Collier&
nm9430075&Patience Collier&
nm9430076&Phil Collins&
nm9430077&Roberta Collins&
nm9430078&Scott Colomby&
nm9430079&Miriam Colon&
nm9430080&Willie Colon&
nm9430081&Tita Colorado&
nm9430082&Norman Combes&
nm9430083&Frederick Combs&
nm9430084&The Commodores&
nm9430085&Fay Compton&
nm9430086&Oliver Conant&
nm9430087&Didi Conn&
nm9430088&Betty Connell&
nm9430089&Chris Connelly&
nm9430090&Jenifer Connelly&
nm9430091&John Considine&
nm9430092&Tim Considine&
nm9430093&Michel Constantin&
nm9430094&Mario Conti&
nm9430095&Carolyn Conwell&
nm9430096&Perry Cook&
nm9430097&Ron Cook&
nm9430098&Alice Cooper&
nm9430099&Terrec Cooper&
nm9430100&Sofia Coppola&
nm9430101&Barry Corbin&
nm9430102&Lola Cordova&
nm9430103&Irwin Corey&
nm9430104&Judy Cornwell&
nm9430105&Salvatore Corsitto&
nm9430106&Joseph Cortese&
nm9430107&Nicholas Cortland&
nm9430108&Henry Cory&
nm9430109&Wendell Cory&
nm9430110&Cybil Cosack&
nm9430111&Ernest Cosart&
nm9430112&Rich Cosentino&
nm9430113&Desiree Costeau&
nm9430114&Carolyn Courage&
nm9430115&Cicely Courtneige&
nm9430116&Maggie CousineauArndt&
nm9430117&Herbert `Cowboy' Coward&
nm9430118&Ruth Cox&
nm9430119&Peter Coyote&
nm9430120&Donald Crabtree&
nm9430121&Jack Crain&
nm9430122&Grant Cramer&
nm9430123&Norma Crane&
nm9430124&John Crawford&
nm9430125&Plett Creighton&
nm9430126&Jack Creley&
nm9430127&Robert Crenna&
nm9430128&Michael Crichton&
nm9430129&Lou Crisoula&
nm9430130&Barry Crocker&
nm9430131&Dick Crockett&
nm9430132&Cathy Lee Crosby&
nm9430133&Harry Crosby&
nm9430134&Kim Crosby&
nm9430135&Mary Crosby&
nm9430136&Scatman Crothers&
nm9430137&Lindsay Crouse&
nm9430138&John Cullum&
nm9430139&Dorothy Cumming&
nm9430140&Quinn Cummings&
nm9430141&Susan Cummings&
nm9430142&Peggy Cummins&
nm9430143&John Cunningham&
nm9430144&Lee Curreri&
nm9430145&Michael Currie&
nm9430146&Sondra Currie&
nm9430147&Steve Curry&
nm9430148&Jane Curtin&
nm9430149&Valerie Curtin&
nm9430150&Kelly Curtis&
nm9430151&Maryam DAbo&
nm9430152&Willem Dafoe&
nm9430153&Lil Dagover&
nm9430154&Elizabeth Daily&
nm9430155&Irene Daily&
nm9430156&Jennifer Dale&
nm9430157&Beatrice Dalle&
nm9430158&Mark Damon&
nm9430159&Bill Dana&
nm9430160&Leona Dana&
nm9430161&Mara Danaud&
nm9430162&Charles Dance&
nm9430163&Tom dAndrea&
nm9430164&Mirella D'Angelo&
nm9430165&Rodney Dangerfield&
nm9430166&Suzanne Danielle&
nm9430167&Anthony Daniels&
nm9430168&Jeff Daniels&
nm9430169&Sybil Danning&
nm9430170&Tony Danza&
nm9430171&Patti D'Arbanville&
nm9430172&Ruth Dardick&
nm9430173&Frank Darien&
nm9430174&Jean Daste&
nm9430175&Elyssa Davalos&
nm9430176&Doris Davenport&
nm9430177&Eileen Davidson&
nm9430178&Lolita Davidovitch&
nm9430179&Clifton Davis&
nm9430180&Geena Davis&
nm9430181&Gene Davis&
nm9430182&Larry Davis&
nm9430183&Lyndon Davis&
nm9430184&Mac Davis&
nm9430185&Miles Davis&
nm9430186&Phyllis Davis&
nm9430187&Roger Davis&
nm9430188&Sonny Carl Davis&
nm9430189&Marjorie Daw&
nm9430190&Marpessa Dawn&
nm9430191&Clayton Day&
nm9430192&Dennis Day&
nm9430193&Lawrence Day&
nm9430194&Marceline Day&
nm9430195&Brian Deacon&
nm9430196&Laura Dean&
nm9430197&Darcia Deane&
nm9430198&Maria DeAragon&
nm9430199&Kristine DeBell&
nm9430200&John DeBello&
nm9430201&Ermelinda deFelice&
nm9430202&Luca DeFilippo&
nm9430203&Peppino DeFillippo&
nm9430204&Willem Defoe&
nm9430205&Nicholas DeGunzberg&
